Date,Close,High,Low,Open,Volume
2010-06-01,30.355884552001953,31.208923802140784,30.340514132081417,30.740136255191853,1336500
2010-06-02,31.255029678344727,31.255029678344723,30.394306751573062,30.471158845146718,842600
2010-06-03,31.439483642578125,31.48559491613352,31.10134309799807,31.362634451594523,2083400
2010-06-04,30.16375732421875,31.001426116219328,30.05616732129151,30.77855943495135,2064100
2010-06-07,29.67192840576172,30.40200750904464,29.64887423281466,30.302101206925762,1665500
2010-06-08,29.948585510253906,30.002380526432173,29.349150723168417,29.63349915909184,2800900
2010-06-09,29.917837142944336,30.617175109077362,29.810247137632757,30.248293834462906,1134000
2010-06-10,30.9399471282959,30.955317548851003,30.340515384686686,30.340515384686686,774500
2010-06-11,31.147445678710938,31.14744567871094,30.571068058118314,30.655603911529205,604500
2010-06-14,31.147445678710938,31.646974122534488,31.12439151200185,31.324201130566365,1226000
2010-06-15,31.939002990722656,31.96205715506387,31.33188458913577,31.33188458913577,2124000
2010-06-16,31.90825653076172,32.07732819044094,31.662335715741413,31.75455528847219,6139700
2010-06-17,31.90825653076172,32.03121693827187,31.577799885901804,32.03121693827187,2167000
2010-06-18,31.907495498657227,32.04629102255533,31.799544078171053,32.00773442256261,1491200
2010-06-21,31.760982513427734,32.362430670122066,31.568211309419773,32.362430670122066,3773600
2010-06-22,31.16724967956543,31.915202960235415,31.059298266160567,31.776407445441905,1969000
2010-06-23,31.082420349121094,31.282901044845296,30.73543170127706,31.159527630217887,1034000
2010-06-24,30.50412940979004,30.94364770733484,30.403887517284055,30.88195948380611,1267500
2010-06-25,30.68146514892578,30.82026064937754,30.26507864757049,30.558091697574778,966900
2010-06-28,30.58892250061035,30.851091363674435,30.473261583686085,30.727717954082753,796300
2010-06-29,29.486297607421875,30.141718812277688,29.254969707866714,30.141718812277688,3740100
2010-06-30,29.146997451782227,29.733023398215053,29.077599719742928,29.386034738018555,3539800
2010-07-01,29.0853271484375,29.262676345506527,28.49930090107773,29.14701241889567,4910300
2010-07-02,28.907978057861328,29.278098506341358,28.746047971718433,29.147012526269098,1743000
2010-07-06,28.98508644104004,29.55569065837996,28.71520785669708,29.27038707898202,1921600
2010-07-07,29.96435546875,29.99519956635965,29.031343576970908,29.031343576970908,928800
2010-07-08,30.272790908813477,30.342188665245885,29.9258050681068,30.31134750574121,1011100
2010-07-09,30.550384521484375,30.57351906989107,30.218817761725987,30.249661865297842,928200
2010-07-12,30.48868751525879,30.65061458447297,30.24965021680847,30.457843423564334,727100
2010-07-13,31.074722290039062,31.20580825853682,30.797131242825554,30.835687842737336,1545300
2010-07-14,31.01304817199707,31.15184374549191,30.781720255201236,30.982204057563404,941800
2010-07-15,31.066999435424805,31.136397167519632,30.565793265689454,31.05157739035325,558500
2010-07-16,30.087736129760742,30.889665211103704,30.041469972256273,30.889665211103704,1121700
2010-07-19,30.326759338378906,30.419288668628223,29.972058179756846,30.21880502139127,440600
2010-07-20,30.773996353149414,30.797127957464387,29.87182848740212,29.95664535037545,1100500
2010-07-21,30.30364227294922,30.98219794942948,30.203400391530803,30.974485451613255,715600
2010-07-22,31.066999435424805,31.18266036127996,30.658322594664448,30.681457132998943,759800
2010-07-23,31.44483184814453,31.460253894492993,30.897362439319693,30.959050624713544,825000
2010-07-26,31.876646041870117,31.88435559570056,31.37543974069355,31.452549986273464,1588900
2010-07-27,31.699312210083008,32.061723185830765,31.5913607555513,32.061723185830765,1604500
2010-07-28,31.41400718688965,31.714729894905002,31.29834324928861,31.629910066191727,737000
2010-07-29,31.259775161743164,31.714715262847786,30.959052592470655,31.68387116819041,1126600
2010-07-30,31.29062843322754,31.4294210169809,30.80484409499608,30.97448078245269,871200
2010-08-02,31.992321014404297,32.03087467981295,31.63761964485871,31.81496885890344,820100
2010-08-03,31.730144500732422,31.961469380175117,31.61448059028336,31.892071622196767,1315800
2010-08-04,32.007728576660156,32.03857267443871,31.70700597695687,31.82266987289893,661100
2010-08-05,31.96146011352539,31.992304206229843,31.707000760895532,31.79953303900889,419100
2010-08-06,31.814958572387695,31.884356324267824,31.36773090362533,31.560502109797334,1144100
2010-08-09,32.03859329223633,32.07714696854244,31.838112410570357,32.069437409864,719500
2010-08-10,31.784116744995117,31.96146589796077,31.51423529716947,31.714718994577677,721500
2010-08-11,30.789424896240234,31.221233563732284,30.735449180485716,31.21352106636398,1446400
2010-08-12,30.604354858398438,30.704596706678373,30.141705151876586,30.21881245581186,1761500
2010-08-13,30.496402740478516,30.727727588309655,30.47327113813191,30.480980691762433,785000
2010-08-16,30.473283767700195,30.588944768823634,30.187983101848218,30.34991026829478,1018700
2010-08-17,30.974477767944336,31.174961481048275,30.689177190094476,30.766287441848046,1822100
2010-08-18,31.036170959472656,31.20581059915054,30.75857989143823,30.928219531116117,1061700
2010-08-19,30.496402740478516,30.989896533572953,30.357607243488825,30.881945134015425,587900
2010-08-20,30.434722900390625,30.465564061853367,30.141709805577914,30.411588352474126,568400
2010-08-23,30.28049659729004,30.72772419484597,30.265074550277117,30.61206325443111,378200
2010-08-24,29.833280563354492,30.041473887071415,29.59424607207131,29.910390835910462,1955700
2010-08-25,29.948932647705078,30.049174491624164,29.393750670867046,29.60194391218131,1422500
2010-08-26,29.75616455078125,30.180260631010995,29.663635192166005,30.056887172372246,1173300
2010-08-27,30.295921325683594,30.326765422439337,29.486282905302634,30.010617842875426,949800
2010-08-30,29.810142517089844,30.295926834227938,29.810142517089844,30.195684972272822,482800
2010-08-31,29.80242156982422,29.995192723726174,29.540252682859382,29.686757700901293,2060400
2010-09-01,30.73543930053711,30.797124552375223,30.218810976800004,30.241945520012383,881800
2010-09-02,31.13641357421875,31.159545183287644,30.789424730905903,30.820268837301686,653500
