,0
2010-06-30,0.8761368817224334
2010-07-01,0.8595657238921849
2010-07-02,0.8600366144188422
2010-07-06,0.8196665803088758
2010-07-07,0.8292540153193586
2010-07-08,0.8659557160191417
2010-07-09,0.8688594029905752
2010-07-12,0.8429005896288871
2010-07-13,0.8489428988371973
2010-07-14,0.8523921794383423
2010-07-15,0.8362576959743788
2010-07-16,0.8410662122309955
2010-07-19,0.8643958841814086
2010-07-20,0.8655994144137464
2010-07-21,0.8615909588907986
2010-07-22,0.8561424610627997
2010-07-23,0.8689792068271405
2010-07-26,0.8585647909646815
2010-07-27,0.8749392942382194
2010-07-28,0.8739487643692802
2010-07-29,0.8406212650957364
2010-07-30,0.8201127600121016
2010-08-02,0.8183224856496117
2010-08-03,0.830543185116612
2010-08-04,0.8246229959159539
2010-08-05,0.7845826382743216
2010-08-06,0.7853665437207087
2010-08-09,0.784287321159658
2010-08-10,0.7920208421736358
2010-08-11,0.7821321657100191
2010-08-12,0.8293859605204635
2010-08-13,0.8244060028304028
2010-08-16,0.7871915428174818
2010-08-17,0.7918204631324067
2010-08-18,0.8101109518805297
2010-08-19,0.7962330227321246
2010-08-20,0.8062391192306563
2010-08-23,0.8110192157833364
2010-08-24,0.7927349710341679
2010-08-25,0.8088430756924825
2010-08-26,0.8082478659832444
2010-08-27,0.8314859695076844
2010-08-30,0.8499860847015839
2010-08-31,0.8277433609694859
2010-09-01,0.8415617649336652
2010-09-02,0.8819065414914528
2010-09-03,0.8824833480786323
2010-09-07,0.8870163434197577
2010-09-08,0.8858692636335971
2010-09-09,0.8901362734184759
2010-09-10,0.853757801189428
2010-09-13,0.8536506864749712
2010-09-14,0.8479907056340744
2010-09-15,0.8461208614799615
2010-09-16,0.8317392419626973
2010-09-17,0.8361596942256939
2010-09-20,0.8061335503801075
2010-09-21,0.8149062188701292
2010-09-22,0.8313366824473559
2010-09-23,0.8232405200483135
2010-09-24,0.8368579407053295
2010-09-27,0.8537911057961471
2010-09-28,0.853246183526082
2010-09-29,0.8226851621584914
2010-09-30,0.8258558569267511
2010-10-01,0.7492346325758199
2010-10-04,0.7355586611380702
2010-10-05,0.7270817520641425
