Date,Close,High,Low,Open,Volume
2010-06-01,61.123291015625,61.4009822670177,60.744624191459444,61.36311702910412,5536200
2010-06-02,60.54273223876953,61.33793678074183,60.47330935252509,61.21171116256329,5656400
2010-06-03,60.10091781616211,60.53007502518955,60.018870010825715,60.08829285456633,8499500
2010-06-04,61.71657943725586,61.817555076587546,61.028663333318114,61.18013401483526,7479600
2010-06-07,62.189903259277344,62.221456034305675,61.42625676741587,61.54616501654307,5288200
2010-06-08,61.880638122558594,62.170949555470386,61.69761475539475,61.80490282114269,5510800
2010-06-09,61.81122970581055,61.924830276905006,61.350514941090886,61.596648709293596,5598000
2010-06-10,60.706783294677734,61.40100688650707,60.64366811950175,61.34420419185105,6075100
2010-06-11,61.47673797607422,61.72917939935448,60.97184549949067,61.27477713343159,6266700
2010-06-14,61.161190032958984,61.24323302562856,60.72572033068558,60.78883069543235,5310400
2010-06-15,60.90870666503906,61.37572885775926,60.61839531199627,61.28737343792056,4920100
2010-06-16,61.25587844848633,61.35685892575832,60.83303353369178,61.33792629002336,4011100
2010-06-17,61.754364013671875,61.994189871884664,61.26209697945564,61.31258714065905,5650900
2010-06-18,61.65340805053711,61.918474258371376,61.57767278472376,61.77962867855105,4171700
2010-06-21,61.47673797607422,61.56509343722461,60.84562478785053,60.877177558254814,5740900
2010-06-22,62.20881271362305,62.22774533458981,61.483031748164265,61.647122488226955,5658900
2010-06-23,62.631690979003906,62.83995955165639,62.20884616665833,62.23409127985982,9137800
2010-06-24,62.25930404663086,62.85254704610452,62.06996820349449,62.701081260601725,6184600
2010-06-25,62.51176452636719,62.68847545236212,61.95007416230691,62.05104977072761,5148300
2010-06-28,63.0987434387207,63.1113635928327,62.745316528390696,62.85891717545839,5436000
2010-06-29,63.78661346435547,63.824478717055385,63.21230293335573,63.31327854555942,7334200
2010-06-30,64.21580505371094,64.24105017403993,63.616249094694325,64.00122875343615,7205700
2010-07-01,64.31710052490234,64.98812868687743,64.17783043789375,64.29811002753385,12893400
2010-07-02,63.80427169799805,64.21574975717625,63.40545717710364,64.0068448430162,6297600
2010-07-06,64.3297119140625,64.4120056125074,63.77263201774061,63.82960829337618,6620400
2010-07-07,63.57639694213867,64.26008333963668,63.519420660817346,64.22842931337746,5727800
2010-07-08,63.17129135131836,63.40551873974085,63.01936255247294,63.19028184745786,6260600
2010-07-09,62.810394287109375,63.07627062521423,62.78507204113874,62.92434197911497,4286000
2010-07-12,62.785099029541016,63.20290419334018,62.69647354541008,62.88005628531749,4062100
2010-07-13,62.24698257446289,62.60148433000459,62.152025367164455,62.57616208607673,5842500
2010-07-14,62.873741149902344,62.98135714771816,62.28501180398391,62.493916856022565,5417300
2010-07-15,63.50043487548828,63.67768584431192,63.114278909239644,63.1396011661754,6996100
2010-07-16,63.810646057128906,64.01954628099328,63.47512968481639,63.500451948560425,7512400
2010-07-19,63.41817092895508,63.77900480763043,63.2915644145784,63.65872523816233,4305800
2010-07-20,63.51310729980469,63.87394105957265,63.41815003044946,63.72833926926433,5076600
2010-07-21,64.58930206298828,64.74756263055602,63.56377667617605,63.58909411682516,7894200
