Date,close,ret
2011-06-10,1270.97998046875,-0.013979844477308045
2011-06-15,1265.4200439453125,-0.01743184580508239
2011-07-11,1319.489990234375,-0.01809053260189253
2011-07-27,1304.8900146484375,-0.020308668519432915
2011-08-02,1254.050048828125,-0.025556664705103427
2011-08-04,1200.0699462890625,-0.047820446201610634
2011-08-08,1119.4599609375,-0.06663446415643826
2011-08-10,1120.760009765625,-0.04415240397919251
2011-08-18,1140.6500244140625,-0.0445937143129993
2011-08-19,1123.530029296875,-0.015008981502439234
2011-08-25,1159.27001953125,-0.01556552007023193
2011-09-02,1173.969970703125,-0.025281938303220453
2011-09-09,1154.22998046875,-0.026705492278710663
2011-09-21,1166.760009765625,-0.02939044252863232
2011-09-22,1129.56005859375,-0.031883121516435575
2011-09-28,1151.06005859375,-0.020691134941917988
2011-09-30,1131.4200439453125,-0.024974129488995245
2011-10-03,1099.22998046875,-0.0284510281118181
2011-10-17,1200.8599853515625,-0.019369883187983272
2011-10-25,1229.050048828125,-0.02004472508361621
2011-10-31,1253.300048828125,-0.02473750308360323
2011-11-01,1218.280029296875,-0.027942247001422227
2011-11-09,1229.0999755859375,-0.036695142913972245
2011-11-16,1236.9100341796875,-0.016616200730203312
2011-11-17,1216.1300048828125,-0.016799952076269054
2011-11-21,1192.97998046875,-0.018648495446902502
2011-11-23,1161.7900390625,-0.02209521492281885
2011-12-08,1234.3499755859375,-0.02114181011508598
2011-12-12,1236.469970703125,-0.014914054108935981
2012-03-06,1343.3599853515625,-0.015370160722531612
2012-04-10,1358.5899658203125,-0.017081454337735447
2012-05-04,1369.0999755859375,-0.016147208958519288
2012-05-17,1304.8599853515625,-0.015051375861739213
2012-05-30,1313.3199462890625,-0.014334892170861036
2012-06-01,1278.0400390625,-0.024642584749729912
2012-06-21,1325.510009765625,-0.022261677039013494
2012-06-25,1313.719970703125,-0.015954853497705423
2012-10-19,1433.18994140625,-0.016571304555192734
2012-10-23,1413.1099853515625,-0.01444390628760639
2012-11-07,1394.530029296875,-0.023705000038029778
2012-11-14,1355.489990234375,-0.013852035718884714
2013-02-25,1487.8499755859375,-0.018309580659152336
2013-04-15,1552.3599853515625,-0.022966290584432447
2013-04-17,1552.010009765625,-0.014327681394279534
2013-05-31,1630.739990234375,-0.014307241527974024
2013-06-05,1608.9000244140625,-0.013779732742503992
2013-06-19,1628.9300537109375,-0.013851474486292426
2013-06-20,1588.18994140625,-0.02501035094286319
2013-08-15,1661.3199462890625,-0.014281601380197961
2013-08-27,1630.47998046875,-0.015874194741040237
2013-11-07,1747.1500244140625,-0.013182771972194418
2014-01-24,1790.2900390625,-0.02087544856898549
2014-02-03,1741.8900146484375,-0.02283191982018462
2014-04-10,1833.0799560546875,-0.020884795550912716
2014-07-31,1930.6700439453125,-0.019999240340662028
2014-09-25,1965.989990234375,-0.016168772358634453
2014-10-01,1946.1600341796875,-0.013248560995234304
2014-10-07,1935.0999755859373,-0.015126053030587894
2014-10-09,1928.2099609375,-0.02066141501469343
2014-10-13,1874.739990234375,-0.016467929557809624
2014-12-10,2026.1400146484373,-0.01635096881921516
2014-12-12,2002.3299560546875,-0.016213587335965784
2015-01-05,2020.5799560546875,-0.018278105145113743
2015-01-27,2029.550048828125,-0.013387862410411011
2015-01-28,2002.1600341796875,-0.013495609366348305
2015-03-06,2071.260009765625,-0.014173946589881803
2015-03-10,2044.1600341796875,-0.01696133008584244
2015-03-25,2061.050048828125,-0.014558905652342857
2015-06-29,2057.639892578125,-0.02086619391956246
2015-07-08,2046.6800537109373,-0.016652749054007154
2015-08-20,2035.72998046875,-0.021100170073477753
2015-08-21,1970.8900146484373,-0.03185096571863755
2015-08-24,1893.2099609375,-0.039413692866465566
2015-08-25,1867.6099853515625,-0.01352199497897244
2015-09-01,1913.8499755859373,-0.029576446640986798
2015-09-04,1921.219970703125,-0.015329595723932221
2015-09-09,1942.0400390625,-0.01389756050907287
2015-09-18,1958.030029296875,-0.016164165744279924
2015-09-28,1881.77001953125,-0.02566609046896018
2015-11-12,2045.969970703125,-0.013990375564759017
2015-12-03,2049.6201171875,-0.014373526666262015
2015-12-11,2012.3699951171875,-0.019422767297482935
2015-12-17,2041.8900146484373,-0.015040520909943789
