Date,close,ret
2011-06-10,2221.090087890625,-0.03106908266450481
2011-08-05,2194.3798828125,-0.07128384068311144
2011-08-19,2038.219970703125,-0.06591511418459184
2011-09-23,2206.860107421875,-0.04302953340366478
2011-09-30,2139.179931640625,-0.03066808609826932
2011-11-18,2253.949951171875,-0.0432256309411847
2011-11-25,2150.8798828125,-0.045728641093289
2011-12-16,2238.179931640625,-0.03471803024708142
2012-05-04,2637.919921875,-0.03772613491936472
2012-05-18,2478.530029296875,-0.05254243235731715
2012-10-12,2720.139892578125,-0.03264651832578469
2014-10-10,3870.860107421875,-0.03884725757283858
2015-01-30,4148.43017578125,-0.030319240789757118
2015-08-21,4197.27001953125,-0.07360170691616597
2015-09-04,4184.72021484375,-0.03335548527989618
2015-11-13,4502.14013671875,-0.0435691148724322
2015-12-11,4537.56005859375,-0.037861643502887676
2016-01-08,4270.77978515625,-0.07020929163835887
2016-01-15,4141.080078125,-0.030369092661260866
2016-02-05,4024.469970703125,-0.059520878072603756
2016-11-04,4660.4599609375,-0.030200222559828238
2018-02-02,6760.2900390625,-0.03740300296675747
2018-02-09,6412.68017578125,-0.05141937125074236
2018-03-23,6508.08984375,-0.0729150973042928
2018-10-12,7157.2099609375,-0.03268002237419332
2018-10-26,6852.39990234375,-0.03585504884818613
2018-11-23,6527.35009765625,-0.04946394810396759
2018-12-07,6613.27978515625,-0.04831335568551387
2018-12-21,6046.56005859375,-0.08315439450610296
2019-05-10,7586.52978515625,-0.03303710374404367
2019-08-02,7692.7998046875,-0.04043313014649019
2020-02-28,8461.830078125,-0.10425453854901856
2020-03-13,7995.259765625,-0.06272670115447299
2020-03-20,6994.2900390625,-0.12519539776132005
2020-09-04,11622.1298828125,-0.031154085682303823
2020-09-11,11087.400390625,-0.046009595278941884
2020-10-30,11052.9501953125,-0.054703123444441504
2021-01-29,12925.3798828125,-0.03299471023790557
2021-02-26,12909.4404296875,-0.04943308338940333
2021-10-01,14791.8701171875,-0.03508289679079446
2021-11-26,16025.580078125,-0.03305065670463314
2021-12-17,15801.4599609375,-0.03248353797799419
2022-01-07,15592.1904296875,-0.04460086255416995
2022-01-21,14438.400390625,-0.07514862130423439
2022-03-11,13301.830078125,-0.038734396720719544
2022-04-08,14327.259765625,-0.035929119951604305
2022-04-15,13893.2099609375,-0.03029538179582003
2022-04-22,13356.8701171875,-0.03860445823952752
2022-04-29,12854.7998046875,-0.03758891926739183
2022-05-20,11835.6201171875,-0.04454366986111924
2022-06-10,11832.8203125,-0.05699778733013605
2022-06-17,11265.990234375,-0.04790321015237675
2022-07-01,11585.6796875,-0.04296847711309504
2022-08-26,12605.169921875,-0.04815640455934156
2022-09-02,12098.4404296875,-0.040200131797360594
2022-09-16,11861.3798828125,-0.05774494820141085
2022-09-23,11311.240234375,-0.04638074607446552
2022-09-30,10971.2197265625,-0.030060409006182454
2022-10-14,10692.0595703125,-0.0314698228135073
2022-11-04,10857.0302734375,-0.05968882341751924
2022-12-09,11563.330078125,-0.035927993550300186
2023-02-24,11969.650390625,-0.03143903930026104
2023-03-10,11830.2802734375,-0.03746940299094481
2023-08-04,15274.919921875,-0.030221058379986454
2023-09-22,14701.099609375,-0.032975107112633406
2024-01-05,16305.98046875,-0.030901663587496797
2024-04-19,17037.650390625,-0.053647366770353866
2024-07-19,19522.619140625,-0.03978415179731487
2024-08-02,18440.849609375,-0.0306360890642553
2024-09-06,18421.310546875,-0.05891960420729303
2024-11-15,20394.130859375,-0.03423983878647385
2025-02-28,20884.41015625,-0.03375900890704475
2025-03-07,20201.369140625,-0.032705784387240144
2025-04-04,17397.69921875,-0.09769524690700848
2025-11-07,25059.810546875,-0.030873086567684616
2025-11-21,24239.5703125,-0.03073666578180212
2026-03-27,23132.76953125,-0.03202678227664224
2026-06-05,28957.599609375,-0.04534902348835734
