Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2015-12-21,U (Sep 2016),0.0000,20.0000,22.0000,0.0000,21.0000,0,0,0,0
2015-12-22,U (Sep 2016),0.0000,19.1500,21.6500,0.0000,20.3750,-0.6250,0,0,0
2015-12-23,U (Sep 2016),0.0000,17.1000,20.5000,0.0000,18.8000,-1.5750,0,0,0
2015-12-24,U (Sep 2016),0.0000,17.2500,20.5000,0.0000,18.8500,0.0500,0,0,0
2015-12-28,U (Sep 2016),20.5000,20.5000,20.5000,20.5000,19.8250,0.9750,1,0,1
2015-12-29,U (Sep 2016),0.0000,19.0000,20.9500,0.0000,19.9750,0.1500,0,0,1
2015-12-30,U (Sep 2016),0.0000,19.6000,20.9000,0.0000,19.5750,-0.4000,0,0,1
2015-12-31,U (Sep 2016),0.0000,19.0000,20.9000,0.0000,19.9500,0.3750,0,0,1
2016-01-04,U (Sep 2016),20.9500,21.0000,20.6700,20.6700,20.8500,0.9000,36,0,16
2016-01-05,U (Sep 2016),20.5000,20.7400,20.4300,20.4300,20.4500,-0.4000,31,0,42
2016-01-06,U (Sep 2016),21.0000,21.0000,20.7000,20.7000,20.7250,0.2750,45,0,85
2016-01-07,U (Sep 2016),20.9500,21.2700,20.9000,21.2700,21.2250,0.5000,31,0,114
2016-01-08,U (Sep 2016),21.1500,22.8500,20.9700,22.8500,22.8500,1.6250,40,0,148
2016-01-11,U (Sep 2016),22.5300,22.9100,22.1500,22.1800,22.3500,-0.5000,118,0,260
2016-01-12,U (Sep 2016),21.8900,22.2200,21.7200,21.7800,22.5000,0.1500,102,0,359
2016-01-13,U (Sep 2016),21.4800,22.6500,21.4800,22.6400,22.8250,0.3250,58,0,380
2016-01-14,U (Sep 2016),22.6000,22.7900,22.2100,22.3100,22.3750,-0.4500,85,0,445
2016-01-15,U (Sep 2016),22.7700,23.3500,22.5000,23.3000,23.2000,0.8250,324,0,726
2016-01-19,U (Sep 2016),23.3800,23.6000,22.4400,23.2500,23.1500,-0.0500,262,0,723
2016-01-20,U (Sep 2016),23.6500,24.2000,23.0500,23.4000,23.3000,0.1500,201,0,744
2016-01-21,U (Sep 2016),23.1300,23.6000,22.9800,23.3900,23.3250,0.0250,130,0,766
2016-01-22,U (Sep 2016),23.2500,23.2500,22.3100,22.3100,22.3500,-0.9750,532,0,954
2016-01-25,U (Sep 2016),22.2800,22.8000,22.1100,22.8000,22.7750,0.4250,871,0,1384
2016-01-26,U (Sep 2016),22.8000,23.1000,22.2500,22.2800,22.3000,-0.4750,373,0,1486
2016-01-27,U (Sep 2016),22.3000,22.7600,22.0500,22.6700,22.6250,0.3250,578,0,1700
2016-01-28,U (Sep 2016),22.3000,22.7000,22.2500,22.4500,22.3750,-0.2500,508,0,1920
2016-01-29,U (Sep 2016),22.3000,22.3500,21.7000,21.7300,21.7250,-0.6500,642,0,2154
2016-02-01,U (Sep 2016),21.6900,21.9000,21.6000,21.6300,21.6500,-0.0750,57,0,2143
2016-02-02,U (Sep 2016),21.9000,22.2500,13.2500,22.1000,22.1750,0.5250,770,0,2299
2016-02-03,U (Sep 2016),22.2500,22.7700,22.0200,22.0800,22.1000,-0.0750,695,0,2611
2016-02-04,U (Sep 2016),22.1500,22.5500,21.8500,22.3200,22.3500,0.2500,511,0,2810
2016-02-05,U (Sep 2016),22.3500,23.0500,22.3300,22.7100,22.7500,0.4000,1221,0,3193
2016-02-08,U (Sep 2016),23.1500,23.7000,22.8000,23.1000,23.1000,0.3500,959,0,3232
2016-02-09,U (Sep 2016),23.2500,23.7900,23.1000,23.4500,23.4750,0.3750,414,0,3242
2016-02-10,U (Sep 2016),23.4000,23.6300,23.0300,23.5000,23.5000,0.0250,789,0,3326
2016-02-11,U (Sep 2016),23.5900,24.8000,23.4500,24.2500,24.3250,0.8250,2151,0,4064
2016-02-12,U (Sep 2016),24.3300,24.4500,24.0000,24.2500,24.2750,-0.0500,444,0,3657
2016-02-16,U (Sep 2016),24.0300,24.0900,23.6000,23.8200,23.8000,-0.4750,862,0,3894
2016-02-17,U (Sep 2016),23.8600,24.0000,23.1000,23.3000,23.3250,-0.4750,1229,0,4579
2016-02-18,U (Sep 2016),23.2500,23.4500,23.0300,23.4000,23.3750,0.0500,1606,0,5008
2016-02-19,U (Sep 2016),23.3600,23.6200,23.0500,23.1500,23.1750,-0.2000,1295,0,5144
2016-02-22,U (Sep 2016),23.2000,23.2000,22.5000,22.6000,22.5500,-0.6250,1777,0,5973
2016-02-23,U (Sep 2016),22.5500,23.0300,22.5000,22.9800,22.9750,0.4250,1486,0,6094
2016-02-24,U (Sep 2016),22.9700,23.4500,22.7200,22.8000,22.7750,-0.2000,2163,0,6360
2016-02-25,U (Sep 2016),22.7700,22.9500,22.4500,22.4500,22.4750,-0.3000,962,0,6554
2016-02-26,U (Sep 2016),22.4900,22.8300,22.2000,22.7000,22.6750,0.2000,1690,0,6923
2016-02-29,U (Sep 2016),22.6800,22.9700,22.4000,22.9000,22.8750,0.2000,1572,0,7168
2016-03-01,U (Sep 2016),22.8500,23.0000,21.8000,21.8000,21.8250,-1.0500,1462,0,7794
2016-03-02,U (Sep 2016),21.9000,22.0200,21.6000,21.7500,21.7000,-0.1250,1218,0,7959
2016-03-03,U (Sep 2016),21.7000,21.7500,21.1300,21.2500,21.2250,-0.4750,1701,0,8426
2016-03-04,U (Sep 2016),21.1600,21.5500,20.9500,21.5500,21.5250,0.3000,1634,0,8093
2016-03-07,U (Sep 2016),21.3200,21.6800,21.2500,21.4000,21.3750,-0.1500,1287,0,8457
2016-03-08,U (Sep 2016),21.4500,21.8800,21.3500,21.8500,21.8750,0.5000,2036,0,9324
2016-03-09,U (Sep 2016),21.8000,21.9500,21.6300,21.7000,21.6750,-0.2000,1488,0,9753
2016-03-10,U (Sep 2016),21.6300,22.0900,21.3000,21.6000,21.5750,-0.1000,2101,0,10088
2016-03-11,U (Sep 2016),21.5600,21.5600,21.1000,21.2000,21.1750,-0.4000,1487,0,10568
2016-03-14,U (Sep 2016),21.2000,21.3000,20.8200,21.0000,20.9750,-0.2000,1141,0,10676
2016-03-15,U (Sep 2016),20.9400,21.2900,20.9400,21.2700,21.2750,0.3000,2367,0,11391
2016-03-16,U (Sep 2016),21.2400,21.4500,20.7500,20.9000,20.9250,-0.3500,3227,0,11854
2016-03-17,U (Sep 2016),20.9100,21.1800,20.5000,20.6700,20.6500,-0.2750,4446,0,12845
2016-03-18,U (Sep 2016),20.6300,20.8000,20.4300,20.7200,20.7000,0.0500,2724,0,13807
2016-03-21,U (Sep 2016),20.7000,20.7700,20.3800,20.4200,20.4000,-0.3000,2234,0,13651
2016-03-22,U (Sep 2016),20.3800,20.6500,20.3300,20.3800,20.3750,-0.0250,1492,0,13650
2016-03-23,U (Sep 2016),20.4100,20.9500,20.3700,20.9500,20.9250,0.5500,3168,0,14247
2016-03-24,U (Sep 2016),20.9000,21.3200,20.7500,20.7500,20.7750,-0.1500,3380,0,14849
2016-03-28,U (Sep 2016),20.7500,21.0000,20.5900,20.6500,20.6750,-0.1000,1825,0,14682
2016-03-29,U (Sep 2016),20.6800,20.9000,20.0500,20.1000,20.0750,-0.6000,2769,0,14911
2016-03-30,U (Sep 2016),20.0700,20.1000,19.6500,19.7900,19.7750,-0.3000,3991,0,15673
2016-03-31,U (Sep 2016),19.8000,20.0000,19.7000,19.8400,19.8250,0.0500,1995,0,15723
2016-04-01,U (Sep 2016),19.8600,20.2000,19.4700,19.5000,19.4750,-0.3500,2553,0,16061
2016-04-04,U (Sep 2016),19.5000,19.8000,19.3500,19.7500,19.7750,0.3000,1682,0,16138
2016-04-05,U (Sep 2016),19.7600,20.3900,19.7500,20.2000,20.2250,0.4500,2960,0,16525
2016-04-06,U (Sep 2016),20.2500,20.3700,19.7400,19.7500,19.7250,-0.5000,2366,0,16653
2016-04-07,U (Sep 2016),19.7500,20.8500,19.6600,20.6000,20.6750,0.9500,4163,0,17100
2016-04-08,U (Sep 2016),20.6300,20.7200,20.2200,20.5000,20.5000,-0.1750,4240,0,17032
2016-04-11,U (Sep 2016),20.5000,20.8500,20.2500,20.8500,20.8250,0.3250,3237,0,17528
2016-04-12,U (Sep 2016),20.8500,21.1000,20.3800,20.5500,20.5750,-0.2500,3739,0,17872
2016-04-13,U (Sep 2016),20.6000,20.6300,20.0800,20.2000,20.1750,-0.4000,4247,0,17883
2016-04-14,U (Sep 2016),20.2000,20.3500,19.9100,20.1500,20.1250,-0.0500,3747,0,18832
2016-04-15,U (Sep 2016),20.1500,20.2700,20.0000,20.0500,20.0750,-0.0500,3669,0,19447
2016-04-18,U (Sep 2016),20.1100,20.3900,19.2300,19.4000,19.3500,-0.7250,5850,0,18673
