Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-01-02,H (Mar 2013),18.8000,18.8500,17.9500,18.0600,0,0,25310,0,45750
2013-01-03,H (Mar 2013),18.2500,18.2500,17.7000,18.1200,0,0,16775,0,47770
2013-01-04,H (Mar 2013),18.1000,18.1800,17.7300,18.0200,0,0,15470,0,51194
2013-01-07,H (Mar 2013),18.0800,18.2500,17.9000,17.9500,0,0,14145,0,53817
2013-01-08,H (Mar 2013),18.0300,18.4000,17.8500,17.8700,0,0,23874,0,59966
2013-01-09,H (Mar 2013),17.9500,18.1800,17.6500,17.9400,0,0,17663,0,64197
2013-01-10,H (Mar 2013),17.8500,17.9500,17.6000,17.7400,0,0,16477,0,68079
2013-01-11,H (Mar 2013),17.7200,18.0000,17.6000,17.6400,0,0,16521,0,71138
2013-01-14,H (Mar 2013),17.7700,17.8000,17.2500,17.3300,0,0,17305,0,73010
2013-01-15,H (Mar 2013),17.5500,17.6000,17.1300,17.2400,0,0,13618,0,73944
2013-01-16,H (Mar 2013),17.4500,17.5000,16.8500,17.0700,0,0,21562,96,78428
2013-01-17,H (Mar 2013),16.8000,17.1500,16.7000,16.9800,0,0,27856,0,80088
2013-01-18,H (Mar 2013),17.0300,17.0500,16.1500,16.2800,0,0,41679,581,84653
2013-01-22,H (Mar 2013),16.3500,16.4000,15.3500,15.3700,0,0,41049,299,84566
2013-01-23,H (Mar 2013),15.4500,15.5000,14.9500,15.0300,0,0,39667,270,85661
2013-01-24,H (Mar 2013),15.2500,15.7500,14.9000,15.0800,0,0,52813,510,90363
2013-01-25,H (Mar 2013),14.9500,15.3500,14.8800,15.1300,0,0,35993,249,95814
2013-01-28,H (Mar 2013),15.1000,15.5300,14.9800,15.3200,0,0,31788,290,102995
2013-01-29,H (Mar 2013),15.4500,15.7000,14.8000,14.9200,0,0,40873,466,109990
2013-01-30,H (Mar 2013),14.9500,15.8500,14.9500,15.7600,0,0,52864,441,112735
2013-01-31,H (Mar 2013),15.8000,16.0700,15.4000,15.7100,0,0,34455,12,115973
2013-02-01,H (Mar 2013),15.6100,15.6500,14.9500,15.3800,0,0,63274,4943,130799
2013-02-04,H (Mar 2013),15.3500,16.1000,15.3500,15.8600,0,0,50143,1870,137918
2013-02-05,H (Mar 2013),15.6000,15.8000,15.2000,15.5700,0,0,43676,1718,139343
2013-02-06,H (Mar 2013),15.6000,15.9200,15.3000,15.3300,0,0,41016,1978,144638
2013-02-07,H (Mar 2013),15.3500,15.9800,15.1500,15.3100,0,0,61841,66,152093
2013-02-08,H (Mar 2013),15.3500,15.4600,15.0000,15.0100,0,0,52108,6348,168187
2013-02-11,H (Mar 2013),15.0500,15.2000,14.8000,14.9300,0,0,49634,2408,180804
2013-02-12,H (Mar 2013),14.9500,15.0000,14.6000,14.7800,0,0,64442,4363,203499
2013-02-13,H (Mar 2013),14.6500,15.1000,14.5900,14.7500,0,0,56061,4559,203230
2013-02-14,H (Mar 2013),14.9000,15.0500,14.5000,14.5500,0,0,46644,3291,206290
2013-02-15,H (Mar 2013),14.6500,14.8500,14.4000,14.5000,0,0,53303,3568,208352
2013-02-19,H (Mar 2013),14.3500,14.4500,13.8000,13.8900,0,0,73118,4510,209152
2013-02-20,H (Mar 2013),13.9500,15.4000,13.8000,15.3900,0,0,86073,0,200474
2013-02-21,H (Mar 2013),15.3500,16.0500,15.0500,15.5000,0,0,94946,569,192522
2013-02-22,H (Mar 2013),15.1500,15.4000,14.8000,14.8400,0,0,51095,279,186987
2013-02-25,H (Mar 2013),14.5500,17.7000,14.1000,17.6500,0,0,145449,0,189144
2013-02-26,H (Mar 2013),17.0000,18.0500,16.4000,17.0600,0,0,135683,6386,172005
2013-02-27,H (Mar 2013),16.8000,17.0500,15.1000,15.4300,0,0,94965,1134,164266
2013-02-28,H (Mar 2013),15.3000,16.2000,15.0800,16.1400,0,0,66885,1540,157816
2013-03-01,H (Mar 2013),16.6000,17.2500,15.9000,16.3900,0,0,80477,0,152535
2013-03-04,H (Mar 2013),16.2500,16.5000,14.9500,14.9900,0,0,69838,0,148902
2013-03-05,H (Mar 2013),14.8500,14.9000,14.4500,14.5400,0,0,60395,4889,150730
2013-03-06,H (Mar 2013),14.3500,14.9800,14.2000,14.7000,0,0,48002,2513,143479
2013-03-07,H (Mar 2013),14.6500,14.8000,14.1500,14.1900,0,0,46990,2244,138498
2013-03-08,H (Mar 2013),14.1000,14.5500,13.7500,13.8000,0,0,67695,3808,132947
2013-03-11,H (Mar 2013),13.9000,13.9500,12.9500,13.0000,0,0,59921,1888,130345
2013-03-12,H (Mar 2013),13.2000,13.9500,13.0500,13.2400,0,0,54471,1496,119649
2013-03-13,H (Mar 2013),13.5500,13.6000,12.9000,12.9400,0,0,41310,537,122430
2013-03-14,H (Mar 2013),12.8500,12.9300,12.5000,12.5400,0,0,38639,1539,117464
2013-03-15,H (Mar 2013),12.6000,13.1100,12.4500,12.5400,0,0,57151,243,99536
2013-03-18,H (Mar 2013),13.3500,14.1000,12.9300,13.6800,0,0,85693,1502,78067
2013-03-19,H (Mar 2013),13.5000,15.3800,13.1500,14.7900,0,0,88817,1826,58172
2013-03-20,H (Mar 2013),0.0000,0.0000,0.0000,0.0000,0,0,0,0,50101
