Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-12-23,U (Sep 2014),0.0000,13.0000,22.7500,0.0000,17.9000,0,0,0,0
2013-12-24,U (Sep 2014),20.4000,20.4000,18.6000,18.6400,18.6500,0.7500,45,0,31
2013-12-26,U (Sep 2014),18.1500,18.7000,18.1500,18.5500,18.5500,-0.1000,25,0,19
2013-12-27,U (Sep 2014),17.7000,18.9500,17.5500,18.9500,18.6000,0.0500,25,0,28
2013-12-30,U (Sep 2014),18.5000,18.6500,18.5000,18.6500,18.6500,0.0500,5,0,28
2013-12-31,U (Sep 2014),18.0500,18.6000,18.0500,18.6000,18.5000,-0.1500,16,0,15
2014-01-02,U (Sep 2014),18.6000,18.6000,18.5000,18.6000,18.6500,0.1500,4,0,17
2014-01-03,U (Sep 2014),18.7000,18.7000,18.6000,18.6500,18.6500,0.0000,26,0,26
2014-01-06,U (Sep 2014),18.5500,18.5500,18.2900,18.3000,18.4500,-0.2000,10,0,29
2014-01-07,U (Sep 2014),18.3500,18.3500,18.1700,18.1700,18.2000,-0.2500,29,0,44
2014-01-08,U (Sep 2014),18.1500,18.2000,18.1000,18.1400,18.1500,-0.0500,104,0,136
2014-01-09,U (Sep 2014),18.0000,18.2500,17.9500,18.2100,18.2500,0.1000,52,0,157
2014-01-10,U (Sep 2014),18.2000,18.2000,18.0900,18.0900,18.1500,-0.1000,8,0,158
2014-01-13,U (Sep 2014),18.1500,18.6000,18.1500,18.6000,18.4000,0.2500,44,0,171
2014-01-14,U (Sep 2014),18.3500,18.3600,18.2800,18.3400,18.3500,-0.0500,25,0,175
2014-01-15,U (Sep 2014),18.2500,18.4800,18.2500,18.4500,18.4500,0.1000,44,0,188
2014-01-16,U (Sep 2014),18.3500,18.4500,18.3300,18.4000,18.4500,0.0000,134,0,320
2014-01-17,U (Sep 2014),18.4500,18.5500,18.4000,18.5500,18.5500,0.1000,88,0,308
2014-01-21,U (Sep 2014),18.4000,18.6000,18.3000,18.3500,18.4000,-0.1500,560,0,789
2014-01-22,U (Sep 2014),18.4500,18.4500,18.0000,18.0000,18.0500,-0.3500,99,0,523
2014-01-23,U (Sep 2014),18.0000,18.3500,18.0000,18.2300,18.2500,0.2000,229,0,573
2014-01-24,U (Sep 2014),18.3500,18.9000,18.2500,18.9000,18.9500,0.7000,768,0,834
2014-01-27,U (Sep 2014),18.7000,19.1000,18.2500,18.7500,18.8000,-0.1500,1051,0,1309
2014-01-28,U (Sep 2014),18.7500,18.7900,18.2500,18.4000,18.4000,-0.4000,435,0,1227
2014-01-29,U (Sep 2014),18.3600,18.6700,18.2000,18.6000,18.6000,0.2000,1579,0,2122
2014-01-30,U (Sep 2014),18.2000,18.7300,18.2000,18.7300,18.7500,0.1500,541,0,1995
2014-01-31,U (Sep 2014),18.6100,19.1200,18.5700,18.8500,18.8500,0.1000,1580,0,2217
2014-02-03,U (Sep 2014),18.8500,19.3300,18.6800,19.3300,19.4000,0.5500,1633,0,2497
2014-02-04,U (Sep 2014),19.3000,19.5000,19.0500,19.4900,19.5000,0.1000,1471,0,2884
2014-02-05,U (Sep 2014),19.4000,19.9100,19.2500,19.9100,19.9000,0.4000,2012,0,3397
2014-02-06,U (Sep 2014),19.8300,19.9100,19.1000,19.1000,19.1000,-0.8000,1177,0,3460
2014-02-07,U (Sep 2014),19.0700,19.2800,18.4500,18.4500,18.5000,-0.6000,962,0,3263
2014-02-10,U (Sep 2014),18.5000,18.5500,18.2500,18.4400,18.4500,-0.0500,701,0,3095
2014-02-11,U (Sep 2014),18.4000,18.4000,18.0700,18.1000,18.1500,-0.3000,647,0,3146
2014-02-12,U (Sep 2014),18.0400,18.3000,17.9400,18.1100,18.1500,0.0000,614,0,3192
2014-02-13,U (Sep 2014),18.1000,18.2700,17.7800,17.9700,17.9500,-0.2000,814,0,3246
2014-02-14,U (Sep 2014),17.9500,18.0500,17.8000,17.8600,17.9000,-0.0500,711,0,3298
2014-02-18,U (Sep 2014),17.8300,17.9500,17.5500,17.6000,17.6000,-0.3000,1291,0,3747
2014-02-19,U (Sep 2014),17.5800,18.0900,17.5700,17.9200,17.9500,0.3500,2705,0,4510
2014-02-20,U (Sep 2014),17.9500,18.0700,17.7500,17.7700,17.8000,-0.1500,2157,0,5270
2014-02-21,U (Sep 2014),17.7000,17.8900,17.5900,17.8200,17.8500,0.0500,1760,9,5710
2014-02-24,U (Sep 2014),17.8200,17.9500,17.6600,17.9300,17.9500,0.1000,1496,0,6301
2014-02-25,U (Sep 2014),17.8500,18.0000,17.8000,17.8200,17.8500,-0.1000,2370,0,6938
2014-02-26,U (Sep 2014),17.8000,18.1800,17.7500,18.0800,18.1000,0.2500,3883,0,6684
2014-02-27,U (Sep 2014),18.1000,18.2500,18.0000,18.1800,18.2000,0.1000,2841,0,6961
2014-02-28,U (Sep 2014),18.1100,18.4500,18.0500,18.2800,18.3000,0.1000,4891,15,7615
2014-03-03,U (Sep 2014),18.4500,18.8000,18.4500,18.6800,18.7000,0.4000,4550,0,7766
2014-03-04,U (Sep 2014),18.6300,18.6300,18.0500,18.2100,18.2500,-0.4500,3491,0,8180
2014-03-05,U (Sep 2014),18.2500,18.3000,18.1000,18.2400,18.2500,0.0000,2303,0,8449
2014-03-06,U (Sep 2014),18.1500,18.3200,18.0600,18.0600,18.1000,-0.1500,3093,0,8972
2014-03-07,U (Sep 2014),18.1000,18.3300,17.9500,18.2300,18.2500,0.1500,1971,0,9143
2014-03-10,U (Sep 2014),18.2500,18.4100,18.1300,18.1800,18.2000,-0.0500,1899,13,9451
2014-03-11,U (Sep 2014),18.2500,18.4900,18.1700,18.3800,18.4000,0.2000,2189,0,9589
2014-03-12,U (Sep 2014),18.4200,18.5800,18.3000,18.3800,18.4000,0.0000,2209,0,9943
2014-03-13,U (Sep 2014),18.3400,18.7000,18.2500,18.5200,18.5500,0.1500,2668,0,10511
2014-03-14,U (Sep 2014),18.6300,18.8000,18.4200,18.6100,18.6500,0.1000,4806,223,10644
2014-03-17,U (Sep 2014),18.4500,18.6100,18.0500,18.1300,18.1500,-0.5000,4128,0,11647
2014-03-18,U (Sep 2014),18.1400,18.2200,17.8600,17.9800,18.0000,-0.1500,4099,44,11666
2014-03-19,U (Sep 2014),17.9100,18.4300,17.9000,17.9800,18.0000,0.0000,4359,0,12442
2014-03-20,U (Sep 2014),18.0000,18.1000,17.8000,17.8600,17.9000,-0.1000,3914,0,12334
2014-03-21,U (Sep 2014),17.8700,18.1000,17.8500,17.9500,18.0000,0.1000,6364,0,12529
2014-03-24,U (Sep 2014),17.8500,18.1800,17.8500,17.9800,18.0000,0.0000,3371,0,12992
2014-03-25,U (Sep 2014),17.9800,18.1000,17.8800,18.0300,18.0500,0.0500,4693,0,13894
2014-03-26,U (Sep 2014),18.0700,18.3000,17.9000,18.1500,18.2000,0.1500,3430,0,14242
