Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2019-12-09,U (Sep 2020),0.0000,18.7500,19.6500,0.0000,19.2000,0,0,0,0
2019-12-10,U (Sep 2020),0.0000,18.6500,19.5000,0.0000,19.1750,-0.0250,0,0,0
2019-12-11,U (Sep 2020),0.0000,19.0000,19.9000,0.0000,19.3750,0.2000,0,0,0
2019-12-12,U (Sep 2020),18.8500,18.8500,18.8500,18.8500,19.1000,-0.2750,1,0,1
2019-12-13,U (Sep 2020),18.7000,19.1300,18.7000,18.7000,18.7500,-0.3500,16,0,12
2019-12-16,U (Sep 2020),0.0000,18.4500,18.7000,0.0000,18.5500,-0.2000,0,0,12
2019-12-17,U (Sep 2020),18.5300,18.5300,18.5300,18.5300,18.6500,0.1000,20,0,32
2019-12-18,U (Sep 2020),18.8400,18.8800,18.5000,18.6000,18.5750,-0.0750,157,0,186
2019-12-19,U (Sep 2020),18.5100,18.6000,18.5100,18.5200,18.4750,-0.1000,4,0,190
2019-12-20,U (Sep 2020),18.5500,18.5500,18.4000,18.4900,18.4250,-0.0500,15,0,197
2019-12-23,U (Sep 2020),18.0000,18.5500,18.0000,18.4800,18.4500,0.0250,35,0,217
2019-12-24,U (Sep 2020),18.5000,18.5600,18.4800,18.4900,18.4750,0.0250,25,0,232
2019-12-26,U (Sep 2020),18.5500,18.5500,18.4000,18.4100,18.4000,-0.0750,48,0,267
2019-12-27,U (Sep 2020),18.3900,18.6000,18.3900,18.6000,18.5500,0.1500,65,0,301
2019-12-30,U (Sep 2020),18.5000,18.7500,18.4100,18.7200,18.6500,0.1000,286,0,422
2019-12-31,U (Sep 2020),18.6100,18.8000,18.4800,18.4900,18.5000,-0.1500,117,0,467
2020-01-02,U (Sep 2020),18.3700,18.4400,18.1700,18.2000,18.2250,-0.2750,155,0,524
2020-01-03,U (Sep 2020),18.4000,18.5600,18.3100,18.3700,18.3750,0.1500,63,0,550
2020-01-06,U (Sep 2020),18.4500,18.5500,18.2500,18.2600,18.3000,-0.0750,65,0,565
2020-01-07,U (Sep 2020),18.3700,18.3700,18.1900,18.2000,18.2500,-0.0500,38,0,560
2020-01-08,U (Sep 2020),18.3500,18.7000,18.0500,18.1500,18.1000,-0.1500,1133,0,1603
2020-01-09,U (Sep 2020),18.1000,18.1800,17.9600,18.0000,17.9750,-0.1250,559,0,2048
2020-01-10,U (Sep 2020),17.8700,18.0500,17.7800,17.9400,17.9500,-0.0250,250,0,2215
2020-01-13,U (Sep 2020),17.9000,17.9100,17.7000,17.7200,17.7000,-0.2500,329,0,2622
2020-01-14,U (Sep 2020),17.8000,17.8400,17.6500,17.6800,17.6750,-0.0250,214,0,2567
2020-01-15,U (Sep 2020),17.6500,17.7500,17.6000,17.6700,17.6000,-0.0750,113,0,2621
2020-01-16,U (Sep 2020),17.5400,17.7000,17.4800,17.4800,17.4750,-0.1250,189,0,2685
2020-01-17,U (Sep 2020),17.5000,17.5500,17.4300,17.5500,17.4750,0.0000,115,0,2723
2020-01-21,U (Sep 2020),17.5000,17.6000,17.4000,17.5500,17.5000,0.0250,186,0,2815
2020-01-22,U (Sep 2020),17.4500,17.6000,17.3800,17.6000,17.5750,0.0750,367,0,2988
2020-01-23,U (Sep 2020),17.7000,17.8000,17.4700,17.5000,17.5000,-0.0750,305,0,3095
2020-01-24,U (Sep 2020),17.5000,17.8000,17.4400,17.7000,17.7250,0.2250,456,0,3263
2020-01-27,U (Sep 2020),17.9000,18.1300,17.8500,18.0000,18.1250,0.4000,901,0,3720
2020-01-28,U (Sep 2020),17.9500,18.0000,17.8000,17.8300,17.8000,-0.3250,178,0,3758
2020-01-29,U (Sep 2020),17.7100,17.9500,17.6700,17.9000,17.8750,0.0750,490,0,3848
2020-01-30,U (Sep 2020),17.9700,18.1000,17.5900,17.6000,17.6000,-0.2750,506,0,4005
2020-01-31,U (Sep 2020),17.6000,18.2000,17.5500,18.1100,18.1250,0.5250,699,0,4222
2020-02-03,U (Sep 2020),18.1000,18.1000,17.8400,17.9000,17.9000,-0.2250,795,0,4553
2020-02-04,U (Sep 2020),17.8500,17.9500,17.3300,17.3700,17.3500,-0.5500,760,0,4594
2020-02-05,U (Sep 2020),17.4000,17.4800,17.2800,17.4000,17.4000,0.0500,977,0,4837
2020-02-06,U (Sep 2020),17.3000,17.4700,17.2500,17.3500,17.3750,-0.0250,368,0,4750
2020-02-07,U (Sep 2020),17.3500,17.6000,17.3300,17.4700,17.4500,0.0750,447,0,4862
2020-02-10,U (Sep 2020),17.5500,17.6000,17.2400,17.3700,17.3250,-0.1250,703,0,4974
