Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-02-15,X (Nov 2013),0,0,0,0,0,0,0,0,0
2013-02-19,X (Nov 2013),19.3500,19.5800,19.2000,19.5800,0,0,39,0,32
2013-02-20,X (Nov 2013),19.4500,19.7500,19.1000,19.7500,0,0,133,0,157
2013-02-21,X (Nov 2013),19.8700,20.2000,19.2500,20.1000,0,0,359,0,282
2013-02-22,X (Nov 2013),19.9300,19.9800,19.6300,19.7500,0,0,394,0,503
2013-02-25,X (Nov 2013),19.6000,20.4700,19.3700,20.0300,0,0,892,0,1012
2013-02-26,X (Nov 2013),19.9300,20.1500,19.6500,20.0000,0,0,207,0,1058
2013-02-27,X (Nov 2013),19.9500,19.9800,19.4300,19.6500,0,0,580,0,1322
2013-02-28,X (Nov 2013),19.4200,19.8900,19.3200,19.7500,0,0,348,0,1485
2013-03-01,X (Nov 2013),19.8500,19.9500,19.4900,19.9000,0,0,212,0,1558
2013-03-04,X (Nov 2013),19.6000,19.9400,19.5000,19.5500,0,0,67,0,1589
2013-03-05,X (Nov 2013),19.4000,19.4500,19.1300,19.2000,0,0,506,0,1823
2013-03-06,X (Nov 2013),19.1100,19.3000,19.1000,19.1000,0,0,191,0,1911
2013-03-07,X (Nov 2013),19.0800,19.1500,19.0300,19.1000,0,0,492,0,2143
2013-03-08,X (Nov 2013),19.0000,19.1700,18.9000,19.0400,0,0,410,0,2372
2013-03-11,X (Nov 2013),19.1500,19.2500,18.9400,18.9400,0,0,616,0,2687
2013-03-12,X (Nov 2013),19.0700,19.3000,18.9500,19.0500,0,0,446,0,2900
2013-03-13,X (Nov 2013),19.2000,19.2700,19.0400,19.1500,0,0,177,0,2940
2013-03-14,X (Nov 2013),19.2000,19.2000,19.0500,19.1000,0,0,420,0,3121
2013-03-15,X (Nov 2013),19.0500,19.2500,19.0500,19.1300,0,0,123,0,3117
2013-03-18,X (Nov 2013),19.4500,19.6500,19.2000,19.3500,0,0,182,0,3110
2013-03-19,X (Nov 2013),19.1500,19.8000,19.1100,19.4000,0,0,552,0,3085
2013-03-20,X (Nov 2013),19.4000,19.4000,19.0500,19.4000,0,0,155,0,3138
2013-03-21,X (Nov 2013),19.5000,19.6500,19.3500,19.4500,0,0,185,0,3197
2013-03-22,X (Nov 2013),19.3500,19.4800,19.3000,19.4500,0,0,396,0,3264
2013-03-25,X (Nov 2013),19.1500,19.6500,19.1500,19.2000,0,0,252,0,3337
2013-03-26,X (Nov 2013),19.0500,19.1500,18.9300,19.1000,0,0,411,0,3368
2013-03-27,X (Nov 2013),19.2200,19.4000,19.0900,19.2000,0,0,348,0,3461
2013-03-28,X (Nov 2013),19.1500,19.3000,19.1500,19.2700,0,0,155,0,3515
2013-04-01,X (Nov 2013),19.2000,19.4000,19.1700,19.4000,0,0,214,0,3578
2013-04-02,X (Nov 2013),19.1500,19.2500,19.0000,19.1500,0,0,982,0,4024
2013-04-03,X (Nov 2013),19.1200,19.3000,19.0300,19.2500,0,0,1045,0,4252
2013-04-04,X (Nov 2013),19.1200,19.4500,19.1000,19.2000,0,0,1015,0,4488
2013-04-05,X (Nov 2013),19.4500,19.7500,19.2000,19.3000,0,0,805,0,4527
2013-04-08,X (Nov 2013),19.2100,19.2500,18.9500,18.9500,0,0,364,0,4473
2013-04-09,X (Nov 2013),18.9500,19.0700,18.8000,18.8700,0,0,280,0,4505
2013-04-10,X (Nov 2013),18.8000,18.8000,18.5500,18.7000,0,0,491,0,4619
2013-04-11,X (Nov 2013),18.6000,18.7200,18.4000,18.7000,0,0,321,0,4616
2013-04-12,X (Nov 2013),18.7500,18.8500,18.4000,18.4000,0,0,413,0,4636
2013-04-15,X (Nov 2013),18.6000,19.7500,18.4000,19.3600,0,0,960,0,4646
2013-04-16,X (Nov 2013),18.7400,18.9500,18.4000,18.6300,0,0,1072,0,4887
2013-04-17,X (Nov 2013),18.8900,19.1500,18.6500,18.8400,0,0,3475,0,5535
2013-04-18,X (Nov 2013),18.6800,19.3300,18.6500,19.2400,0,0,2249,0,6159
2013-04-19,X (Nov 2013),19.0000,19.4500,18.8200,19.4200,0,0,5043,6,7545
2013-04-22,X (Nov 2013),19.3500,19.3500,18.8000,18.9900,0,0,3277,0,8106
2013-04-23,X (Nov 2013),18.8500,19.5000,18.3900,18.4200,0,0,2564,9,8334
2013-04-24,X (Nov 2013),18.3500,18.4500,18.2000,18.3800,0,0,2665,9,8843
2013-04-25,X (Nov 2013),18.2500,18.4000,18.1000,18.3700,0,0,1135,0,8957
2013-04-26,X (Nov 2013),18.4500,18.5500,18.2000,18.3200,0,0,2634,8,9680
2013-04-29,X (Nov 2013),18.2000,18.2500,17.8700,18.2200,0,0,2500,9,10405
2013-04-30,X (Nov 2013),18.2500,18.2500,17.9000,18.0300,0,0,2471,11,11086
2013-05-01,X (Nov 2013),18.0500,18.3700,18.0000,18.3200,0,0,2535,0,11575
2013-05-02,X (Nov 2013),18.2000,18.3700,18.0000,18.2300,0,0,1675,11,11771
2013-05-03,X (Nov 2013),18.2000,18.2700,17.9000,18.0100,0,0,3218,92,12207
2013-05-06,X (Nov 2013),18.0500,18.1500,17.7000,17.7400,0,0,2381,7,12365
2013-05-07,X (Nov 2013),17.6000,17.7000,17.5500,17.6200,0,0,1987,0,12739
2013-05-08,X (Nov 2013),17.6000,17.8200,17.5500,17.7200,0,0,2599,0,13316
2013-05-09,X (Nov 2013),17.8000,18.1000,17.7400,17.8800,0,0,2329,0,13828
2013-05-10,X (Nov 2013),17.8700,18.2000,17.8500,18.0300,0,0,3001,0,14206
2013-05-13,X (Nov 2013),18.1500,18.2100,18.0600,18.1200,0,0,1885,0,14607
2013-05-14,X (Nov 2013),18.1000,18.1600,18.0200,18.0900,0,0,1141,0,14831
2013-05-15,X (Nov 2013),18.1500,18.3000,18.1000,18.2200,0,0,2696,0,15898
2013-05-16,X (Nov 2013),18.2000,18.5000,18.1700,18.4900,0,0,3333,0,16898
2013-05-17,X (Nov 2013),18.3500,18.5000,18.2200,18.3200,0,0,3884,0,17584
2013-05-20,X (Nov 2013),18.2500,18.5500,18.2000,18.5400,18.5500,0,3059,0,18064
2013-05-21,X (Nov 2013),18.5000,18.9000,18.4500,18.8600,18.9000,0.3500,4260,51,19115
2013-05-22,X (Nov 2013),18.7000,18.9200,18.5000,18.7400,18.7500,-0.1500,4571,26,19828
2013-05-23,X (Nov 2013),19.0000,19.3100,18.7000,18.8300,18.8500,0.1000,3976,137,19610
2013-05-24,X (Nov 2013),18.9200,19.0500,18.7500,18.8300,18.8500,0.0000,2703,73,19859
2013-05-28,X (Nov 2013),18.6500,18.9200,18.6000,18.6700,18.7000,-0.1500,5300,12,19824
2013-05-29,X (Nov 2013),18.8700,18.9100,18.5000,18.6600,18.7000,0.0000,5319,42,20147
2013-05-30,X (Nov 2013),18.6500,18.9000,18.6000,18.7400,18.7500,0.0500,5331,92,21191
2013-05-31,X (Nov 2013),18.9500,19.1500,18.6500,19.0600,19.1000,0.3500,5023,0,22535
2013-06-03,X (Nov 2013),19.0000,19.4500,18.9500,19.1800,19.2000,0.1000,7256,0,23728
2013-06-04,X (Nov 2013),19.2500,19.4000,19.1000,19.2200,19.2500,0.0500,3617,0,23742
2013-06-05,X (Nov 2013),19.4000,19.6000,19.2500,19.4800,19.5000,0.2500,6222,413,24377
2013-06-06,X (Nov 2013),19.4000,19.9000,19.2300,19.3800,19.4000,-0.1000,6690,63,24812
2013-06-07,X (Nov 2013),19.4000,19.4700,18.9500,19.2200,19.2500,-0.1500,3629,0,25066
2013-06-10,X (Nov 2013),19.0500,19.2000,18.9000,18.9700,19.0000,-0.2500,5177,0,26938
2013-06-11,X (Nov 2013),19.2600,19.6000,19.1000,19.4800,19.5000,0.5000,5204,46,27910
2013-06-12,X (Nov 2013),19.3500,20.1200,19.2200,20.0300,20.0500,0.5500,8321,323,27626
2013-06-13,X (Nov 2013),20.1000,20.1200,19.5000,19.6300,19.6500,-0.4000,7551,24,27267
2013-06-14,X (Nov 2013),19.7000,20.1500,19.4500,20.1300,20.1500,0.5000,7275,25,27426
2013-06-17,X (Nov 2013),19.9000,20.1000,19.7300,19.9300,19.9500,-0.2000,4468,12,27835
2013-06-18,X (Nov 2013),19.9400,19.9700,19.7500,19.8700,19.9000,-0.0500,4785,0,28803
2013-06-19,X (Nov 2013),19.8800,20.0400,19.2400,19.9800,20.0000,0.1000,7784,81,28781
2013-06-20,X (Nov 2013),20.0500,21.1500,20.0000,20.6300,20.6500,0.6500,15602,0,28990
2013-06-21,X (Nov 2013),20.3100,21.0300,20.0500,20.5600,20.6000,-0.0500,14559,115,30204
2013-06-24,X (Nov 2013),20.9300,21.4500,20.8500,21.1800,21.2000,0.6000,11722,0,30393
2013-06-25,X (Nov 2013),20.9100,21.3000,20.6500,21.1200,21.1500,-0.0500,7575,34,30282
2013-06-26,X (Nov 2013),20.9400,21.2500,20.8500,21.0800,21.1000,-0.0500,6409,0,29569
2013-06-27,X (Nov 2013),20.9000,21.0000,20.6500,20.7800,20.8000,-0.3000,6717,0,28965
2013-06-28,X (Nov 2013),20.6400,21.0000,20.4000,20.6800,20.7000,-0.1000,6869,34,28318
