Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2013-09-23,M (Jun 2014),0.0000,19.5500,19.8500,0.0000,19.7000,0,0,0,0
2013-09-24,M (Jun 2014),19.5500,19.9000,19.5500,19.8000,19.8000,0.1000,58,0,30
2013-09-25,M (Jun 2014),19.7000,19.8000,19.6800,19.8000,19.8000,0.0000,40,0,65
2013-09-26,M (Jun 2014),19.6500,19.7100,19.6200,19.6800,19.6000,-0.2000,72,0,105
2013-09-27,M (Jun 2014),19.7500,19.8000,19.7000,19.7000,19.7000,0.1000,5,0,107
2013-09-30,M (Jun 2014),20.0500,20.1100,19.8200,20.0500,20.0500,0.3500,650,0,642
2013-10-01,M (Jun 2014),20.0500,20.0500,19.7200,19.7200,19.7500,-0.3000,161,0,718
2013-10-02,M (Jun 2014),19.9500,20.0000,19.8500,19.9000,19.9500,0.2000,165,0,746
2013-10-03,M (Jun 2014),20.0500,20.2500,19.9500,20.1000,20.1000,0.1500,118,0,765
2013-10-04,M (Jun 2014),20.2500,20.3000,19.9200,19.9600,19.9500,-0.1500,16,0,772
2013-10-07,M (Jun 2014),20.3500,20.3500,20.2000,20.3500,20.2500,0.3000,87,0,815
2013-10-08,M (Jun 2014),20.2500,20.8000,20.2500,20.7500,20.7500,0.5000,276,0,943
2013-10-09,M (Jun 2014),20.7500,20.8500,20.4500,20.5500,20.7500,0.0000,281,0,1079
2013-10-10,M (Jun 2014),20.2900,20.3600,19.8500,19.8600,20.0000,-0.7500,123,0,1037
2013-10-11,M (Jun 2014),19.8500,19.8500,19.3800,19.5500,19.6000,-0.4000,90,0,1020
2013-10-14,M (Jun 2014),19.8800,20.0000,19.5400,19.6200,19.5500,-0.0500,467,0,1114
2013-10-15,M (Jun 2014),19.5000,19.8800,19.5000,19.7000,19.7000,0.1500,236,0,1174
2013-10-16,M (Jun 2014),19.5500,19.5900,19.1500,19.4200,19.4500,-0.2500,321,0,1269
2013-10-17,M (Jun 2014),19.5000,19.5500,18.9500,18.9500,19.0000,-0.4500,316,0,1284
2013-10-18,M (Jun 2014),18.8500,19.1000,18.6500,18.8700,18.8500,-0.1500,75,0,1253
2013-10-21,M (Jun 2014),18.6000,18.9500,18.5500,18.9000,18.9000,0.0500,79,0,1263
2013-10-22,M (Jun 2014),18.7200,18.9900,18.6500,18.9500,19.0000,0.1000,324,0,1363
2013-10-23,M (Jun 2014),19.1000,19.2500,19.1000,19.1000,19.1500,0.1500,812,0,1592
2013-10-24,M (Jun 2014),19.0500,19.1500,19.0000,19.0300,19.0500,-0.1000,304,0,1634
2013-10-25,M (Jun 2014),18.9700,19.2000,16.1200,19.2000,19.2000,0.1500,482,0,1796
2013-10-28,M (Jun 2014),19.1900,19.3300,19.1500,19.3000,19.2500,0.0500,915,0,2166
2013-10-29,M (Jun 2014),19.2800,19.3200,19.2000,19.3000,19.2500,0.0000,549,0,2465
2013-10-30,M (Jun 2014),19.2700,19.4500,19.1500,19.4000,19.3500,0.1000,1322,0,2835
2013-10-31,M (Jun 2014),19.2900,19.4000,19.1900,19.4000,19.3500,0.0000,417,0,2964
2013-11-01,M (Jun 2014),19.3900,19.5500,19.2600,19.5000,19.5000,0.1500,499,0,3182
2013-11-04,M (Jun 2014),19.3500,19.4000,19.2700,19.2700,19.3000,-0.2000,466,0,3276
2013-11-05,M (Jun 2014),19.2500,19.3900,19.2500,19.3700,19.4000,0.1000,291,0,3184
2013-11-06,M (Jun 2014),19.2000,19.3500,19.1500,19.2500,19.2000,-0.2000,248,0,3220
