Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-07-26,J (Apr 2022),0.0000,22.0000,50.1000,0.0000,24.55,0,0,0,0
2021-07-27,J (Apr 2022),0.0000,24.1000,26.0000,0.0000,25.05,0.50,0,0,0
2021-07-28,J (Apr 2022),24.2500,24.2500,24.2500,24.2500,24.75,-0.30,5,0,5
2021-07-29,J (Apr 2022),0.0000,24.5000,24.7000,0.0000,24.45,-0.30,0,0,5
2021-07-30,J (Apr 2022),24.8000,24.8000,24.8000,24.8000,24.75,0.30,1,0,6
2021-08-02,J (Apr 2022),24.8200,24.8200,24.8100,24.8100,24.875,0.125,5,0,11
2021-08-03,J (Apr 2022),24.7500,24.9000,24.7500,24.7500,25.125,0.250,2,0,13
2021-08-04,J (Apr 2022),24.7800,24.7800,24.7600,24.7800,25.10,-0.025,17,0,30
2021-08-05,J (Apr 2022),0.0000,24.3000,24.5000,0.0000,24.375,-0.725,0,0,30
2021-08-06,J (Apr 2022),24.3000,24.4500,24.2000,24.2500,24.175,-0.200,28,0,58
2021-08-09,J (Apr 2022),24.2500,24.3500,24.2500,24.3200,24.425,0.250,4,0,62
2021-08-10,J (Apr 2022),24.4000,24.4000,24.2000,24.2500,25.00,0.575,29,0,86
2021-08-11,J (Apr 2022),24.3000,24.3000,24.1000,24.1500,24.15,-0.85,69,0,153
2021-08-12,J (Apr 2022),23.9500,24.1500,23.9000,23.9000,24.025,-0.125,2,0,152
2021-08-13,J (Apr 2022),23.8500,24.1400,23.8500,24.0900,24.125,0.100,17,0,164
2021-08-16,J (Apr 2022),24.1500,24.3000,24.1000,24.1000,24.175,0.050,2,0,166
2021-08-17,J (Apr 2022),24.2700,24.6000,24.2300,24.5600,24.40,0.225,43,0,199
2021-08-18,J (Apr 2022),24.5500,25.2000,24.5000,25.2000,25.20,0.80,44,0,234
2021-08-19,J (Apr 2022),25.4500,25.5100,25.1000,25.3000,25.25,0.05,105,0,295
2021-08-20,J (Apr 2022),25.3900,25.5500,24.9000,25.0000,24.975,-0.275,178,0,354
2021-08-23,J (Apr 2022),24.9500,24.9500,24.6500,24.6500,24.825,-0.150,237,0,502
2021-08-24,J (Apr 2022),24.7800,24.9200,24.6200,24.7500,24.70,-0.125,392,0,561
2021-08-25,J (Apr 2022),24.7500,24.8000,24.4500,24.4900,24.55,-0.15,111,0,569
2021-08-26,J (Apr 2022),24.7000,24.9000,24.5500,24.8500,24.825,0.275,205,0,633
2021-08-27,J (Apr 2022),24.7000,24.8000,24.2000,24.2000,24.275,-0.550,271,0,741
2021-08-30,J (Apr 2022),24.3000,24.3000,24.1000,24.1500,24.25,-0.025,330,0,931
2021-08-31,J (Apr 2022),24.2200,24.3500,24.1500,24.2500,24.30,0.05,131,0,954
2021-09-01,J (Apr 2022),24.1800,24.2500,24.0700,24.2000,24.15,-0.15,121,0,932
2021-09-02,J (Apr 2022),24.2000,24.3000,24.0800,24.1700,24.20,0.05,90,0,983
2021-09-03,J (Apr 2022),24.4200,24.4500,24.2000,24.3000,24.35,0.15,170,0,1037
2021-09-07,J (Apr 2022),24.4000,24.6600,24.2000,24.6600,24.65,0.30,61,0,1047
