Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-05-22,G (Feb 2024),0.0000,24.8000,25.1000,0.0000,24.85,0,0,0,0
2023-05-23,G (Feb 2024),25.0500,25.0500,24.9000,25.0500,25.00,0.15,1,0,1
2023-05-24,G (Feb 2024),0.0000,25.0000,25.1500,0.0000,25.075,0.075,0,0,1
2023-05-25,G (Feb 2024),25.0500,25.0500,24.8300,24.8300,24.85,-0.225,30,0,27
2023-05-26,G (Feb 2024),24.4000,24.7000,24.2000,24.2000,24.425,-0.425,15,0,37
2023-05-30,G (Feb 2024),24.0500,24.3000,24.0500,24.2100,24.275,-0.150,20,0,48
2023-05-31,G (Feb 2024),24.3500,24.4600,24.1000,24.3100,24.10,-0.175,15,0,60
2023-06-01,G (Feb 2024),0.0000,24.1000,23.5500,0.0000,23.525,-0.575,0,0,60
2023-06-02,G (Feb 2024),23.3000,23.4500,22.9000,23.0500,23.00,-0.525,33,0,88
2023-06-05,G (Feb 2024),22.9500,23.1000,22.9500,22.9500,22.875,-0.125,5,0,93
2023-06-06,G (Feb 2024),22.6500,22.8000,22.3000,22.3100,22.275,-0.600,21,0,111
2023-06-07,G (Feb 2024),22.3500,22.4500,22.2500,22.3000,22.25,-0.025,108,0,185
2023-06-08,G (Feb 2024),0.0000,22.3000,22.1000,0.0000,22.10,-0.15,0,0,185
2023-06-09,G (Feb 2024),21.8000,22.0500,21.8000,21.8000,21.90,-0.20,1,0,185
2023-06-12,G (Feb 2024),22.2000,22.3000,22.0500,22.3000,21.95,0.05,3,0,187
2023-06-13,G (Feb 2024),21.8000,22.0000,21.8000,22.0000,21.975,0.025,15,0,198
2023-06-14,G (Feb 2024),21.7500,22.0500,21.7000,21.7700,21.775,-0.200,140,0,325
2023-06-15,G (Feb 2024),21.7100,21.8700,21.6500,21.8700,21.875,0.100,18,0,340
2023-06-16,G (Feb 2024),21.9000,22.0500,21.5400,21.7500,21.55,-0.325,142,0,471
2023-06-20,G (Feb 2024),21.7300,21.8500,21.6800,21.8300,21.80,0.25,167,0,552
2023-06-21,G (Feb 2024),21.8000,21.8000,21.6300,21.6700,21.725,-0.075,296,0,781
2023-06-22,G (Feb 2024),21.8100,21.8100,21.5500,21.6700,21.65,-0.075,129,0,855
2023-06-23,G (Feb 2024),21.8500,21.8500,21.6000,21.7300,21.75,0.10,92,0,907
2023-06-26,G (Feb 2024),21.7400,21.8000,21.4000,21.4800,21.50,-0.25,118,0,962
2023-06-27,G (Feb 2024),21.4400,21.4500,21.0100,21.0800,21.10,-0.40,157,0,1016
2023-06-28,G (Feb 2024),21.0800,21.0800,20.6300,20.6500,20.625,-0.475,129,0,1093
2023-06-29,G (Feb 2024),20.6500,20.8500,20.6500,20.8000,20.85,0.225,219,0,1183
2023-06-30,G (Feb 2024),20.6500,20.8000,20.4400,20.5400,20.475,-0.375,197,0,1268
2023-07-03,G (Feb 2024),20.5000,20.5500,20.4500,20.5500,20.55,0.075,78,0,1287
2023-07-05,G (Feb 2024),20.5500,20.7000,20.4500,20.5300,20.55,0.00,122,0,1342
2023-07-06,G (Feb 2024),20.5000,21.4800,20.5000,20.8500,20.825,0.275,425,0,1554
2023-07-07,G (Feb 2024),20.9800,21.0600,20.4500,20.5000,20.55,-0.275,294,0,1699
2023-07-10,G (Feb 2024),20.6000,20.7000,20.2500,20.3200,20.25,-0.30,316,0,1896
2023-07-11,G (Feb 2024),20.3000,20.3000,20.0200,20.1000,20.10,-0.15,748,0,2313
2023-07-12,G (Feb 2024),20.0300,20.0700,19.6500,19.7500,19.75,-0.35,228,0,2352
2023-07-13,G (Feb 2024),19.6500,19.8500,19.5000,19.8000,19.85,0.10,555,0,2588
2023-07-14,G (Feb 2024),19.8100,19.8900,19.5500,19.5500,19.675,-0.175,481,0,2700
2023-07-17,G (Feb 2024),19.6000,19.7600,19.5400,19.7600,19.725,0.050,338,0,2769
2023-07-18,G (Feb 2024),19.7800,19.7800,19.6500,19.7400,19.725,0.000,403,0,2824
2023-07-19,G (Feb 2024),19.7700,20.0000,19.6400,19.9500,19.99,0.265,1004,0,2953
2023-07-20,G (Feb 2024),19.9000,20.1500,19.8500,20.0100,20.0759,0.0859,752,0,3246
2023-07-21,G (Feb 2024),20.0500,20.0500,19.7000,19.8500,19.8729,-0.2030,1158,0,3438
2023-07-24,G (Feb 2024),19.9000,19.9000,19.6100,19.6500,19.70,-0.1729,754,0,3591
2023-07-25,G (Feb 2024),19.6500,19.7000,19.4200,19.5800,19.60,-0.10,1225,0,3857
2023-07-26,G (Feb 2024),19.6000,19.7000,19.3500,19.5500,19.4417,-0.1583,965,0,4065
2023-07-27,G (Feb 2024),19.6200,19.8700,19.3000,19.5600,19.70,0.2583,2236,0,4629
2023-07-28,G (Feb 2024),19.5700,19.6100,19.2500,19.5000,19.40,-0.30,2372,0,5260
2023-07-31,G (Feb 2024),19.4000,19.4800,19.2700,19.4000,19.3546,-0.0454,2025,0,5680
2023-08-01,G (Feb 2024),19.4000,19.6700,19.3500,19.5700,19.55,0.1954,2499,0,5650
2023-08-02,G (Feb 2024),19.5800,20.3600,19.5700,20.1800,20.1183,0.5683,1815,0,5917
2023-08-03,G (Feb 2024),20.1500,20.5000,19.8500,20.0700,20.00,-0.1183,1020,0,5904
2023-08-04,G (Feb 2024),20.1500,20.3000,19.6700,20.1700,20.2414,0.2414,1511,0,6022
2023-08-07,G (Feb 2024),20.1000,20.1100,19.6700,19.7000,19.70,-0.5414,1293,0,6515
2023-08-08,G (Feb 2024),19.6700,20.5800,19.6700,20.0500,20.05,0.35,3984,0,8343
2023-08-09,G (Feb 2024),20.0400,20.2000,19.7700,20.0200,20.05,0.00,1865,0,8850
2023-08-10,G (Feb 2024),20.0000,20.1700,19.6000,19.9500,20.05,0.00,974,0,9079
2023-08-11,G (Feb 2024),19.9600,20.1500,19.6500,19.7100,19.7179,-0.3321,1519,0,9325
2023-08-14,G (Feb 2024),19.7000,19.9700,19.6000,19.6700,19.6496,-0.0683,2483,0,9867
2023-08-15,G (Feb 2024),19.6500,20.2900,19.5500,20.2400,20.1563,0.5067,2023,0,10469
2023-08-16,G (Feb 2024),20.3000,20.3900,19.9000,20.2900,20.3329,0.1766,3643,0,10639
2023-08-17,G (Feb 2024),20.2500,20.7300,20.2000,20.6600,20.6118,0.2789,3617,0,10783
2023-08-18,G (Feb 2024),20.7000,20.9500,20.4000,20.5300,20.5091,-0.1027,3837,0,10717
2023-08-21,G (Feb 2024),20.4500,20.5500,20.1000,20.2600,20.2444,-0.2647,2542,0,10472
2023-08-22,G (Feb 2024),20.2700,20.4200,20.0000,20.3200,20.3351,0.0907,3727,0,10902
2023-08-23,G (Feb 2024),20.2500,20.3000,19.9800,20.0100,20.1247,-0.2104,2389,0,10927
2023-08-24,G (Feb 2024),20.0100,20.4500,19.9000,20.4100,20.4092,0.2845,2251,0,11024
2023-08-25,G (Feb 2024),20.4000,20.4100,19.8000,19.9900,19.9005,-0.5087,3975,0,10822
2023-08-28,G (Feb 2024),20.0000,20.0000,19.5500,19.6600,19.6842,-0.2163,3478,0,11735
2023-08-29,G (Feb 2024),19.6600,19.7200,19.2700,19.4200,19.432,-0.2522,2829,0,12167
2023-08-30,G (Feb 2024),19.4000,19.4700,19.1700,19.2400,19.2302,-0.2018,2533,0,12212
2023-08-31,G (Feb 2024),19.2300,19.2700,18.9500,19.0100,19.017,-0.2132,4070,0,12383
2023-09-01,G (Feb 2024),19.0000,19.0000,18.7700,18.9800,18.9621,-0.0549,3561,0,12771
